base exp072 lat_rmse=2.680753 mse=7.186439
late_median_n100_d500_s1 lat_rmse=2.639684 mse=6.967930
late_median_n100_d1000_s0.25 lat_rmse=2.656106 mse=7.054898
late_median_n100_d1000_s0.5 lat_rmse=2.636174 mse=6.949416
late_median_n100_d1000_s0.75 lat_rmse=2.621068 mse=6.869999
late_median_n100_d1000_s1 lat_rmse=2.610871 mse=6.816647
late_median_n100_d2000_s0.25 lat_rmse=2.639268 mse=6.965736
late_median_n100_d2000_s0.5 lat_rmse=2.607077 mse=6.796852
late_median_n100_d2000_s0.75 lat_rmse=2.584530 mse=6.679793
late_median_n100_d2000_s1 lat_rmse=2.571878 mse=6.614557
late_median_n100_d5000_s0.25 lat_rmse=2.613906 mse=6.832504
late_median_n100_d5000_s0.5 lat_rmse=2.567547 mse=6.592296
late_median_n100_d5000_s0.75 lat_rmse=2.542797 mse=6.465818
late_median_n100_d5000_s1 lat_rmse=2.540288 mse=6.453063
late_median_n200_d0_s0.25 lat_rmse=2.585826 mse=6.686498
late_median_n200_d0_s0.5 lat_rmse=2.542930 mse=6.466495
late_median_n200_d0_s0.75 lat_rmse=2.554726 mse=6.526627
late_median_n200_d0_s1 lat_rmse=2.620446 mse=6.866738
late_median_n200_d250_s0.25 lat_rmse=2.673550 mse=7.147868
late_median_n200_d250_s0.5 lat_rmse=2.667592 mse=7.116047
late_median_n200_d250_s0.75 lat_rmse=2.662888 mse=7.090974
late_median_n200_d250_s1 lat_rmse=2.659446 mse=7.072652
late_median_n200_d500_s0.25 lat_rmse=2.667516 mse=7.115640
late_median_n200_d500_s0.5 lat_rmse=2.656757 mse=7.058357
late_median_n200_d500_s0.75 lat_rmse=2.648509 mse=7.014600
late_median_n200_d500_s1 lat_rmse=2.642796 mse=6.984371
late_median_n200_d1000_s0.25 lat_rmse=2.656985 mse=7.059568
late_median_n200_d1000_s0.5 lat_rmse=2.638139 mse=6.959779
late_median_n200_d1000_s0.75 lat_rmse=2.624322 mse=6.887064
late_median_n200_d1000_s1 lat_rmse=2.615612 mse=6.841426
late_median_n200_d2000_s0.25 lat_rmse=2.640502 mse=6.972253
late_median_n200_d2000_s0.5 lat_rmse=2.609958 mse=6.811880
late_median_n200_d2000_s0.75 lat_rmse=2.589467 mse=6.705341
late_median_n200_d2000_s1 lat_rmse=2.579268 mse=6.652625
late_median_n200_d5000_s0.25 lat_rmse=2.615851 mse=6.842675
late_median_n200_d5000_s0.5 lat_rmse=2.572310 mse=6.616777
late_median_n200_d5000_s0.75 lat_rmse=2.551227 mse=6.508758
late_median_n200_d5000_s1 lat_rmse=2.553157 mse=6.518611
wls_n10_d0_s0.25 lat_rmse=2.584121 mse=6.677680
wls_n10_d0_s0.5 lat_rmse=2.539190 mse=6.447487
wls_n10_d0_s0.75 lat_rmse=2.548654 mse=6.495639
wls_n10_d0_s1 lat_rmse=2.611972 mse=6.822396
wls_n10_d250_s0.25 lat_rmse=2.672819 mse=7.143963
wls_n10_d250_s0.5 lat_rmse=2.666122 mse=7.108205
wls_n10_d250_s0.75 lat_rmse=2.660671 mse=7.079170
wls_n10_d250_s1 lat_rmse=2.656475 mse=7.056859
wls_n10_d500_s0.25 lat_rmse=2.666454 mse=7.109977
wls_n10_d500_s0.5 lat_rmse=2.654615 mse=7.046979
wls_n10_d500_s0.75 lat_rmse=2.645269 mse=6.997449
wls_n10_d500_s1 lat_rmse=2.638445 mse=6.961394
wls_n10_d1000_s0.25 lat_rmse=2.655680 mse=7.052635
wls_n10_d1000_s0.5 lat_rmse=2.635488 mse=6.945797
wls_n10_d1000_s0.75 lat_rmse=2.620292 mse=6.865929
wls_n10_d1000_s1 lat_rmse=2.610178 mse=6.813028
wls_n10_d2000_s0.25 lat_rmse=2.639126 mse=6.964984
wls_n10_d2000_s0.5 lat_rmse=2.607130 mse=6.797128
wls_n10_d2000_s0.75 lat_rmse=2.585126 mse=6.682876
wls_n10_d2000_s1 lat_rmse=2.573368 mse=6.622224
wls_n10_d5000_s0.25 lat_rmse=2.614430 mse=6.835243
wls_n10_d5000_s0.5 lat_rmse=2.569314 mse=6.601372
wls_n10_d5000_s0.75 lat_rmse=2.546533 mse=6.484828
wls_n10_d5000_s1 lat_rmse=2.546687 mse=6.485613
wls_n25_d0_s0.25 lat_rmse=2.584304 mse=6.678629
wls_n25_d0_s0.5 lat_rmse=2.539292 mse=6.448006
wls_n25_d0_s0.75 lat_rmse=2.548475 mse=6.494724
wls_n25_d0_s1 lat_rmse=2.611227 mse=6.818507
wls_n25_d250_s0.25 lat_rmse=2.672850 mse=7.144127
wls_n25_d250_s0.5 lat_rmse=2.666176 mse=7.108494
wls_n25_d250_s0.75 lat_rmse=2.660741 mse=7.079544
wls_n25_d250_s1 lat_rmse=2.656554 mse=7.057277
wls_n25_d500_s0.25 lat_rmse=2.666505 mse=7.110249
wls_n25_d500_s0.5 lat_rmse=2.654702 mse=7.047445
wls_n25_d500_s0.75 lat_rmse=2.645379 mse=6.998029
wls_n25_d500_s1 lat_rmse=2.638561 mse=6.962007
wls_n25_d1000_s0.25 lat_rmse=2.655766 mse=7.053091
wls_n25_d1000_s0.5 lat_rmse=2.635631 mse=6.946551
wls_n25_d1000_s0.75 lat_rmse=2.620461 mse=6.866818
wls_n25_d1000_s1 lat_rmse=2.610344 mse=6.813897
wls_n25_d2000_s0.25 lat_rmse=2.639251 mse=6.965648
wls_n25_d2000_s0.5 lat_rmse=2.607329 mse=6.798164
wls_n25_d2000_s0.75 lat_rmse=2.585334 mse=6.683952
wls_n25_d2000_s1 lat_rmse=2.573525 mse=6.623033
wls_n25_d5000_s0.25 lat_rmse=2.614593 mse=6.836094
wls_n25_d5000_s0.5 lat_rmse=2.569520 mse=6.602434
wls_n25_d5000_s0.75 lat_rmse=2.546656 mse=6.485455
wls_n25_d5000_s1 lat_rmse=2.546598 mse=6.485161
wls_n50_d0_s0.25 lat_rmse=2.584151 mse=6.677838
wls_n50_d0_s0.5 lat_rmse=2.538481 mse=6.443888
wls_n50_d0_s0.75 lat_rmse=2.546432 mse=6.484315
wls_n50_d0_s1 lat_rmse=2.607558 mse=6.799359
wls_n50_d250_s0.25 lat_rmse=2.672905 mse=7.144424
wls_n50_d250_s0.5 lat_rmse=2.666272 mse=7.109005
wls_n50_d250_s0.75 lat_rmse=2.660862 mse=7.080185
wls_n50_d250_s1 lat_rmse=2.656683 mse=7.057966
wls_n50_d500_s0.25 lat_rmse=2.666583 mse=7.110665
wls_n50_d500_s0.5 lat_rmse=2.654827 mse=7.048108
wls_n50_d500_s0.75 lat_rmse=2.645520 mse=6.998775
wls_n50_d500_s1 lat_rmse=2.638687 mse=6.962669
wls_n50_d1000_s0.25 lat_rmse=2.655861 mse=7.053597
wls_n50_d1000_s0.5 lat_rmse=2.635761 mse=6.947236
wls_n50_d1000_s0.75 lat_rmse=2.620562 mse=6.867347
wls_n50_d1000_s1 lat_rmse=2.610352 mse=6.813938
wls_n50_d2000_s0.25 lat_rmse=2.639337 mse=6.966100
wls_n50_d2000_s0.5 lat_rmse=2.607373 mse=6.798394
wls_n50_d2000_s0.75 lat_rmse=2.585212 mse=6.683320
wls_n50_d2000_s1 lat_rmse=2.573106 mse=6.620875
wls_n50_d5000_s0.25 lat_rmse=2.614604 mse=6.836154
wls_n50_d5000_s0.5 lat_rmse=2.569281 mse=6.601207
wls_n50_d5000_s0.75 lat_rmse=2.545898 mse=6.481596
wls_n50_d5000_s1 lat_rmse=2.545058 mse=6.477321
wls_n100_d0_s0.25 lat_rmse=2.583314 mse=6.673510
wls_n100_d0_s0.5 lat_rmse=2.536102 mse=6.431814
wls_n100_d0_s0.75 lat_rmse=2.541915 mse=6.461334
wls_n100_d0_s1 lat_rmse=2.600357 mse=6.761856
wls_n100_d250_s0.25 lat_rmse=2.673019 mse=7.145031
wls_n100_d250_s0.5 lat_rmse=2.666480 mse=7.110115
wls_n100_d250_s0.75 lat_rmse=2.661146 mse=7.081698
wls_n100_d250_s1 lat_rmse=2.657024 mse=7.059777
wls_n100_d500_s0.25 lat_rmse=2.666726 mse=7.111428
wls_n100_d500_s0.5 lat_rmse=2.655076 mse=7.049426
wls_n100_d500_s0.75 lat_rmse=2.645835 mse=7.000442
wls_n100_d500_s1 lat_rmse=2.639031 mse=6.964483
wls_n100_d1000_s0.25 lat_rmse=2.655982 mse=7.054240
wls_n100_d1000_s0.5 lat_rmse=2.635925 mse=6.948100
wls_n100_d1000_s0.75 lat_rmse=2.620692 mse=6.868029
wls_n100_d1000_s1 lat_rmse=2.610368 mse=6.814022
wls_n100_d2000_s0.25 lat_rmse=2.639316 mse=6.965988
